application,feature_block,coverage_target,mean,sem
utility_restoration,oracle_risk_upper_bound,0.75,6.171270718232044,0.27908969185532806
utility_restoration,oracle_risk_upper_bound,1.0,10.861878453038674,0.3139652615027792
utility_restoration,pooled_shannon,0.25,2.43646408839779,0.11252437659872233
utility_restoration,pooled_shannon,0.5,5.110497237569061,0.18588877438141804
utility_restoration,pooled_shannon,0.75,7.8397790055248615,0.25171929316699776
utility_restoration,pooled_shannon,1.0,10.861878453038674,0.3139652615027792
utility_restoration,predictive_action_entropy,0.25,4.303867403314917,0.08903811973210735
utility_restoration,predictive_action_entropy,0.5,7.430939226519337,0.18807175892450415
utility_restoration,predictive_action_entropy,0.75,9.25414364640884,0.26034810433080385
utility_restoration,predictive_action_entropy,1.0,10.861878453038674,0.3139652615027792
utility_restoration,predictive_uncertainty,0.25,1.0607734806629834,0.08659926046223552
utility_restoration,predictive_uncertainty,0.5,3.248618784530387,0.18556007125974544
utility_restoration,predictive_uncertainty,0.75,6.50828729281768,0.26403149919632085
utility_restoration,predictive_uncertainty,1.0,10.861878453038674,0.3139652615027792
utility_restoration,random_abstention,0.25,2.7403314917127073,0.10839466745270376
utility_restoration,random_abstention,0.5,5.475138121546961,0.17841968112703643
utility_restoration,random_abstention,0.75,8.149171270718233,0.24670774978232501
utility_restoration,random_abstention,1.0,10.861878453038674,0.3139652615027792
utility_restoration,rule_kpi_confidence,0.25,1.1104972375690607,0.08791110654192671
utility_restoration,rule_kpi_confidence,0.5,3.226519337016575,0.1875263605110082
utility_restoration,rule_kpi_confidence,0.75,6.480662983425415,0.2647248777690182
utility_restoration,rule_kpi_confidence,1.0,10.861878453038674,0.3139652615027792
utility_restoration,shannon_js,0.25,0.9005524861878453,0.0829567818045761
utility_restoration,shannon_js,0.5,3.132596685082873,0.18728928651527615
utility_restoration,shannon_js,0.75,6.54696132596685,0.26609346940631606
utility_restoration,shannon_js,1.0,10.861878453038674,0.3139652615027792
utility_restoration,tsallis_q_0_5,0.25,2.3812154696132595,0.11034519926911131
utility_restoration,tsallis_q_0_5,0.5,5.154696132596685,0.1817036649677606
utility_restoration,tsallis_q_0_5,0.75,7.900552486187845,0.24086820815575724
utility_restoration,tsallis_q_0_5,1.0,10.861878453038674,0.3139652615027792
utility_restoration,tsallis_q_1_5,0.25,2.3535911602209945,0.1096019593573118
utility_restoration,tsallis_q_1_5,0.5,5.093922651933702,0.18252402273144136
utility_restoration,tsallis_q_1_5,0.75,7.861878453038674,0.24310926900608246
utility_restoration,tsallis_q_1_5,1.0,10.861878453038674,0.3139652615027792
utility_restoration,tsallis_q_2,0.25,2.3370165745856353,0.10777651047827648
utility_restoration,tsallis_q_2,0.5,5.104972375690608,0.1821538759569702
utility_restoration,tsallis_q_2,0.75,7.850828729281768,0.24294668793072127
utility_restoration,tsallis_q_2,1.0,10.861878453038674,0.3139652615027792
utility_restoration,tsallis_q_3,0.25,2.3535911602209945,0.11016062909847556
