model_key,window_sweeps,held_out_cluster,condition,training_clusters,held_out_cluster_excluded,training_nominal_threshold_95,maximum_distance,mean_distance
qwen,7,V15Q_g0,field_markovized,"[""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.402756189674,96.45797259189496,23.38194767825401
qwen,7,V15Q_g0,field_persistent,"[""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.402756189674,98.82334839027243,24.390486282745282
qwen,7,V15Q_g0,field_scrambled,"[""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.402756189674,96.62079516002579,22.45777362086884
qwen,7,V15Q_g0,nominal_markovized,"[""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.402756189674,8.046568197617377,2.493713824943031
qwen,7,V15Q_g1,field_markovized,"[""V15Q_g0"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.4700078138118995,110.15331400600687,25.678631576248094
qwen,7,V15Q_g1,field_persistent,"[""V15Q_g0"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.4700078138118995,110.54147304106532,27.21357683607669
qwen,7,V15Q_g1,field_scrambled,"[""V15Q_g0"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.4700078138118995,110.97407534491553,25.986568522660274
qwen,7,V15Q_g1,nominal_markovized,"[""V15Q_g0"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.4700078138118995,8.82408680557527,1.938286408118202
qwen,7,V15Q_g2,field_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.639464906073347,108.75792757158943,25.61052171800511
qwen,7,V15Q_g2,field_persistent,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.639464906073347,111.42681989135752,26.96768721272578
qwen,7,V15Q_g2,field_scrambled,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.639464906073347,113.24407093723329,27.127392912432658
qwen,7,V15Q_g2,nominal_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.639464906073347,9.490728694826771,2.1921513108422706
qwen,7,V15Q_g3,field_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g4"", ""V15Q_g5""]",True,6.073850894547331,111.85893914746158,27.27944612378872
qwen,7,V15Q_g3,field_persistent,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g4"", ""V15Q_g5""]",True,6.073850894547331,111.99054574133702,28.083751758260593
qwen,7,V15Q_g3,field_scrambled,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g4"", ""V15Q_g5""]",True,6.073850894547331,103.0278082718421,25.725778955648966
