phase,graph_distance,connected_correlation,pair_count,within_pair_sd,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
recovery,4.0,0.031206597222222215,8.0,0.10888681323881644,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
baseline,1.0,-0.01016203703703704,24.0,0.20631669864719654,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
baseline,2.0,0.010208333333333335,42.0,0.1566434221954541,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
baseline,3.0,-0.009071969696969696,44.0,0.17267548213213244,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
baseline,4.0,-0.048694444444444464,10.0,0.09296970542355834,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
disruption,1.0,0.0,24.0,0.0,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
disruption,2.0,0.0,42.0,0.0,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
disruption,3.0,0.0,44.0,0.0,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
disruption,4.0,0.0,10.0,0.0,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
recovery,1.0,0.0,24.0,0.0,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
recovery,2.0,0.0,42.0,0.0,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
recovery,3.0,0.0,44.0,0.0,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
recovery,4.0,0.0,10.0,0.0,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
baseline,1.0,-0.01016203703703704,24.0,0.20631669864719654,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
baseline,2.0,0.010208333333333335,42.0,0.1566434221954541,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
baseline,3.0,-0.009071969696969696,44.0,0.17267548213213244,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
baseline,4.0,-0.048694444444444464,10.0,0.09296970542355834,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
disruption,1.0,0.03614004629629631,24.0,0.08828090905129575,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
disruption,2.0,0.017187500000000005,42.0,0.09007624374139397,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
disruption,3.0,-0.04241003787878788,44.0,0.08687211218411064,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
disruption,4.0,-0.055805555555555574,10.0,0.07251362892805391,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
recovery,1.0,0.019907407407407384,24.0,0.09126877501415062,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
recovery,2.0,0.007336309523809518,42.0,0.09425326854589279,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
recovery,3.0,-0.024461805555555546,44.0,0.09452603032591032,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
recovery,4.0,-0.04951388888888889,10.0,0.06773404465922946,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
baseline,1.0,-0.003582175925925926,24.0,0.14824628443248944,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
baseline,2.0,0.0011822089947089946,42.0,0.10573723231980461,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
baseline,3.0,0.007979797979797983,44.0,0.10979575596884247,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
baseline,4.0,-0.06322222222222225,10.0,0.10846303963598937,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
disruption,1.0,0.03530671296296296,24.0,0.08904671817228796,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
disruption,2.0,0.017187500000000005,42.0,0.09054873249614477,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
disruption,3.0,-0.04150094696969697,44.0,0.08792598642884696,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
disruption,4.0,-0.05702777777777781,10.0,0.07222558901221825,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
recovery,1.0,0.019299768518518487,24.0,0.09159398404144775,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
recovery,2.0,0.007121362433862429,42.0,0.09443679005425436,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
recovery,3.0,-0.024130366161616144,44.0,0.09482987203287985,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
recovery,4.0,-0.04930555555555556,10.0,0.0685174002035865,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
baseline,1.0,-0.004435763888888888,24.0,0.1664315928668851,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
baseline,2.0,0.008361441798941797,42.0,0.1296288020540465,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
baseline,3.0,0.012424242424242426,44.0,0.13562868747739262,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
baseline,4.0,-0.05998611111111114,10.0,0.10873048048652818,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
disruption,1.0,0.03461805555555556,24.0,0.08543939939435097,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
disruption,2.0,0.016122685185185198,42.0,0.08786012257950467,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
disruption,3.0,-0.04097064393939395,44.0,0.0874759968315646,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
disruption,4.0,-0.05419444444444449,10.0,0.06681936762071176,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
recovery,1.0,0.02006365740740738,24.0,0.09145446204439243,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
recovery,2.0,0.005613425925925923,42.0,0.1004771483978539,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
recovery,3.0,-0.025531881313131298,44.0,0.09660134312992219,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
recovery,4.0,-0.04880555555555556,10.0,0.06815743979782572,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
baseline,1.0,-0.047855902777777785,24.0,0.1227486626361104,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
baseline,2.0,0.025821256038647343,46.0,0.17099162050119485,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
