model_key,condition,phase,lag_updates,lag_sweeps,metric,estimate,ci_low,ci_high,independent_clusters,clusters_total,undefined_clusters,bootstrap_replicates,source_type,lag_truncation_sweeps,lag_truncation_updates,is_primary,lag_estimable,integrated_autocorrelation_time_updates,cluster_id,panel_id,memory_mode,n_agents,binder_cumulant,magnetization_second_moment,near_zero_denominator,phase_updates,temporal_window,magnetization_fourth_moment,window_updates,pooling_rule,valid_bootstrap_replicates,belief_magnetization
granite,nominal_markovized,recovery,16.0,1.0,autocorrelation,0.4357134850582691,0.1088659992298806,0.7485247447396901,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,17.0,1.0625,autocorrelation,0.4145731365195877,0.0993726807924286,0.7316093688253196,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,18.0,1.125,autocorrelation,0.3932423343904678,0.0897938369636483,0.7145416021369457,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,19.0,1.1875,autocorrelation,0.3717184933280526,0.0801283067653767,0.6973193760215276,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,20.0,1.25,autocorrelation,0.3499989809832518,0.0703749081107572,0.6799405842141512,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,21.0,1.3125,autocorrelation,0.3280811169275394,0.0605324373223055,0.6624030819793099,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,22.0,1.375,autocorrelation,0.3059621715502152,0.0505996686367121,0.644704685228553,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,23.0,1.4375,autocorrelation,0.2836393649251736,0.0405753536959519,0.6268431696137337,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,24.0,1.5,autocorrelation,0.2611098656461965,0.0304582210242587,0.6088162695950734,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,25.0,1.5625,autocorrelation,0.2383707896297406,0.0202469754905033,0.5906216774832166,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,26.0,1.625,autocorrelation,0.2154191988841588,0.0099402977554979,0.5722570424544262,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,27.0,1.6875,autocorrelation,0.1922521002442523,-0.0004631562962681,0.5537199695380415,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
