agent_id,application,communication,consensus_disagreement,disruption,disruption_active,disruption_step,distributed_entropy,entropy_change,local_kpi_composite,role,seed,step,topology
carrier_06,commercial,reliable,1.0,nominal,0,8,0.35094273745007315,-0.005242450340024074,0.007999999999999964,carrier,5101,14,ring_plus_hubs
manufacturer_03,commercial,reliable,1.0,nominal,0,8,0.35094273745007315,-0.005242450340024074,0.16480000000000003,manufacturer,5101,14,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,nominal,0,8,0.4120299509227857,-0.019058398874386595,0.20400000000000001,manufacturer,5101,14,ring_plus_hubs
retailer_09,commercial,reliable,1.0,nominal,0,8,0.4149832465956263,-0.02024550041172707,4.776516570515222,retailer,5101,14,ring_plus_hubs
retailer_10,commercial,reliable,1.0,nominal,0,8,0.4149832465956263,-0.02024550041172707,4.007945822574926,retailer,5101,14,ring_plus_hubs
retailer_11,commercial,reliable,1.0,nominal,0,8,0.4138220825389147,-0.019703233134282183,3.778616312079359,retailer,5101,14,ring_plus_hubs
supplier_01,commercial,reliable,1.0,nominal,0,8,0.41256972023616995,-0.01950145786600721,0.16479999999999997,supplier,5101,14,ring_plus_hubs
supplier_02,commercial,reliable,1.0,nominal,0,8,0.3496982562490866,-0.004841424427409813,0.16480000000000003,supplier,5101,14,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,nominal,0,8,0.3496982562490866,-0.004841424427409813,0.007999999999999964,warehouse,5101,14,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,nominal,0,8,0.41078354303495057,-0.01885849693447139,0.007999999999999964,warehouse,5101,14,ring_plus_hubs
carrier_05,commercial,reliable,1.0,nominal,0,8,0.34605244768712945,-0.0036458085619571756,0.007999999999999964,carrier,5101,15,ring_plus_hubs
carrier_06,commercial,reliable,1.0,nominal,0,8,0.34699179605527997,-0.003950941394793184,0.007999999999999964,carrier,5101,15,ring_plus_hubs
manufacturer_03,commercial,reliable,1.0,nominal,0,8,0.34699179605527997,-0.003950941394793184,0.16480000000000003,manufacturer,5101,15,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,nominal,0,8,0.3962170693465149,-0.01581288157627081,0.20400000000000001,manufacturer,5101,15,ring_plus_hubs
